source_filename,published_stata_filename,published_csv_filename,role,rows,columns,candidate_key,source_sha256
Master data.dta,master_data.dta,master_data.csv,"Primary city-year panel used for descriptive, DID, robustness, mechanism, and heterogeneity analyses.",4544,55,city+year,2bbb48e0d3319019dffef6c6c02aac70d2f3215c666af152e322a9b0ee2b278a
Moran_result_w11.dta,moran_results_adjacency.dta,moran_results_adjacency.csv,Saved annual global Moran's I results for the adjacency matrix.,16,6,year,df78efff8b385236a21424f21852a134e5c2bab0e6bd3ff634e6aff27b5fb848
Moran_result_w22.dta,moran_results_distance.dta,moran_results_distance.csv,Saved annual global Moran's I results for the geographic-distance matrix.,16,6,year,6f52fd7d218a6a661c2b10f93e75df7eec86ee2daa134133b2c070bacd0704da
Moran_result_w33.dta,moran_results_geo_economic.dta,moran_results_geo_economic.csv,Saved annual global Moran's I results for the geo-economic matrix.,16,6,year,780c52c4ba64d7b3ce691ba9f079406112b3705857d671ef049157359afab929
placebo test.dta,placebo_test.dta,placebo_test.csv,City-year panel used in the random-assignment placebo simulation; also contains prior PSM-generated variables.,4544,49,city+year,313dfca0c00d5b423cd1791ddbc746ce54809da1600f1cb1c999d42d4b0ff0d2
Spatial effect master data.dta,spatial_effect_master_data.dta,spatial_effect_master_data.csv,Reduced city-year panel used for spatial models and spillover-boundary analysis.,4544,12,id+year,7c284430dafccdea65f5e1ca995a821748704b26578574a0fd495dcbd02bf9cd
Traffic distance data.dta,traffic_distance_data.dta,traffic_distance_data.csv,Directed city-pair traffic-distance table used to construct distance-ring exposure variables.,80656,3,fromid+toid,c5e99b4c0a1b42f4e0f6f9697f32857ec4635590e3b0776d641e7cab601b64d6
w1.dta,spatial_adjacency_source.dta,spatial_adjacency_source.csv,Source adjacency matrix with an identifier column and 284 adjacency columns.,284,285,id,951e34e275070a65e3a2e48dfe7e597d8be587e6b299048479c7acfb1650dc6e
w11.dta,spatial_adjacency_weights.dta,spatial_adjacency_weights.csv,Precomputed row-standardized adjacency weight matrix.,284,284,matrix row order; no explicit row identifier,42f95eea33a96aa4001f70a503a2cfff9987052d5412f40ce84eb4c2b7bd176e
w2.dta,spatial_distance_source.dta,spatial_distance_source.csv,City identifiers and coordinates used to construct inverse geographic-distance weights.,284,3,id,a676e492870f162e40b36f37ad915e100809e0c25685dd26c2464b0f8482d223
w22.dta,spatial_distance_weights.dta,spatial_distance_weights.csv,Precomputed row-standardized inverse geographic-distance matrix.,284,284,matrix row order; no explicit row identifier,66b4c9206c2c4185fc8afbbb9f17bb0cb327263fab50ac6d33cf2bffd52564e7
w3.dta,spatial_geo_economic_source.dta,spatial_geo_economic_source.csv,"City-year identifiers, coordinates, and per-capita GDP used to construct geo-economic weights.",4544,5,id+year,f07e00902278e064de955b17e17056524d41f2ae50f67dbe4498f546043ac94a
w33.dta,spatial_geo_economic_weights.dta,spatial_geo_economic_weights.csv,Precomputed row-standardized geo-economic nested weight matrix.,284,284,matrix row order; no explicit row identifier,4141e2e39d3210fcc0702b393791c8591b89a6de48d2bd2294ef357a26d98ca7
